x_m,y_m,elevation_m,x_sim,y_sim,z_sim
1.181511498600477353e+03,9.820788075693417341e+02,4.721619606018066406e+00,2.363022997200954833e+01,1.964157615138683610e+01,9.443239212036133590e-02
1.211791344789846335e+03,9.820431944967713207e+02,5.564075469970703125e+00,2.423582689579692584e+01,1.964086388993542798e+01,1.112815093994140581e-01
1.242071190185903106e+03,9.820076110172085464e+02,8.066413879394531250e+00,2.484142380371806169e+01,1.964015222034417008e+01,1.613282775878906172e-01
2.427987993662245572e+02,9.524816603309009224e+02,6.220093917846679688e+01,4.855975987324491427e+00,1.904963320661801873e+01,1.244018783569335929e+00
2.730787004492594860e+02,9.524451307021081448e+02,6.404900360107421875e+01,5.461574008985190076e+00,1.904890261404216290e+01,1.280980072021484339e+00
3.033586007227422670e+02,9.524086306653916836e+02,7.048819732666015625e+01,6.067172014454845552e+00,1.904817261330783396e+01,1.409763946533203249e+00
3.336385001831222326e+02,9.523721602212172002e+02,7.626843261718750000e+01,6.672770003662444438e+00,1.904744320442434358e+01,1.525368652343749964e+00
3.639183988311560825e+02,9.523357193693518639e+02,7.632229614257812500e+01,7.278367976623122182e+00,1.904671438738703770e+01,1.526445922851562553e+00
3.941982966701616533e+02,9.522993081095628440e+02,7.206930541992187500e+01,7.883965933403232818e+00,1.904598616219125873e+01,1.441386108398437615e+00
4.244781936994404532e+02,9.522629264423158020e+02,7.146852874755859375e+01,8.489563873988808851e+00,1.904525852884631476e+01,1.429370574951171813e+00
4.547580899196909741e+02,9.522265743671450764e+02,6.504214477539062500e+01,9.095161798393819552e+00,1.904453148734290124e+01,1.300842895507812624e+00
4.850379853315535001e+02,9.521902518845163286e+02,5.686742401123046875e+01,9.700759706631069790e+00,1.904380503769032629e+01,1.137348480224609437e+00
5.153178799356683157e+02,9.521539589939638972e+02,4.705194473266601562e+01,1.030635759871336710e+01,1.904307917987927823e+01,9.410388946533203569e-01
5.455977737327339128e+02,9.521176956959534436e+02,3.481464385986328125e+01,1.091195547465467897e+01,1.904235391391906873e+01,6.962928771972656250e-01
5.758776667219935916e+02,9.520814619902521372e+02,2.995835494995117188e+01,1.151755333443987261e+01,1.904162923980504374e+01,5.991670989990234286e-01
6.061575589082785882e+02,9.520452578763943166e+02,3.071664428710937500e+01,1.212315117816557120e+01,1.904090515752788804e+01,6.143328857421874734e-01
6.364374502880382352e+02,9.520090833550784737e+02,3.148385620117187500e+01,1.272874900576076485e+01,1.904018166710157089e+01,6.296771240234375622e-01
6.667173408619710244e+02,9.519729384260717779e+02,3.200501251220703125e+01,1.333434681723942106e+01,1.903945876852143471e+01,6.401002502441406339e-01
6.969972306335112080e+02,9.519368230893742293e+02,2.823110580444335938e+01,1.393994461267022444e+01,1.903873646178748658e+01,5.646221160888672541e-01
7.272771196019602939e+02,9.519007373447529972e+02,2.952818489074707031e+01,1.454554239203920574e+01,1.903801474689506179e+01,5.905636978149414462e-01
7.575570077679003589e+02,9.518646811926737428e+02,3.387009429931640625e+01,1.515114015535800718e+01,1.903729362385347557e+01,6.774018859863281117e-01
7.878368951320881024e+02,9.518286546326708049e+02,3.724361419677734375e+01,1.575673790264176155e+01,1.903657309265341624e+01,7.448722839355469416e-01
8.181167816950473934e+02,9.517926576649770141e+02,3.758066558837890625e+01,1.636233563390094758e+01,1.903585315329954142e+01,7.516133117675781738e-01
